tax_id,Order,MSWFamilyLatin,Scientific,MSW3_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel
16778,Rodentia,Nesomyidae,Petromyscus collinus,1329,50,0,0,0,0,0,0,0,30,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,20,Ref_117,1
16779,Rodentia,Nesomyidae,Petromyscus monticularis,1330,50,0,0,0,0,0,0,0,30,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,20.73,Ref_117,1
16780,Rodentia,Nesomyidae,Petromyscus shortridgei,1331,50,0,0,0,0,0,0,0,30,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,46.5,Ref_117,1
16799,Rodentia,Cricetidae,Phaenomys ferrugineus,1911,20,0,0,0,0,0,10,0,40,30,Ref_3,D2,G,A,,1,0,0,Ref_3,D2,93.8,Ref_117,1
16846,Diprotodontia,Phalangeridae,Phalanger lullulae,205,10,0,0,0,10,0,40,0,0,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1632.5,Ref_117,1
16847,Diprotodontia,Phalangeridae,Phalanger orientalis,210,10,0,0,0,10,0,40,0,0,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,2168.75,Ref_117,1
16850,Diprotodontia,Phalangeridae,Phalanger vestitus,206,10,0,0,0,10,0,40,0,0,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1850,Ref_117,1
16851,Diprotodontia,Phalangeridae,Phalanger matanim,217,10,0,0,0,10,0,40,0,0,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1550,Ref_117,1
16852,Diprotodontia,Phalangeridae,Phalanger rothschildi,208,10,0,0,0,10,0,40,0,0,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1365,Ref_117,1
16853,Diprotodontia,Phalangeridae,Phalanger carmelitae,215,10,0,0,0,10,0,40,0,0,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,2047.5,Ref_117,1
16854,Diprotodontia,Phalangeridae,Phalanger ornatus,209,10,0,0,0,10,0,40,0,0,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,1787.5,Ref_117,1
16855,Diprotodontia,Phalangeridae,Phalanger sericeus,207,10,0,0,0,10,0,40,0,0,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,2003,Ref_117,1
