"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph","SPID"
"Molossus sinaloae","mammal","Chiroptera","Molossidae",5,"npp",0.820782681668123,1.1592112970762,0.5,"Molossus_sinaloae","SP255"
"Monophyllus plethodon","mammal","Chiroptera","Phyllostomidae",18,"npp",-0.458057958034433,-0.494850800718924,0.0666666666666667,"Monophyllus_plethodon","SP256"
"Mops condylurus","mammal","Chiroptera","Molossidae",5,"npp",0.38925855763496,0.410925886839632,0.5,"Mops_condylurus","SP257"
"Mormoops megalophylla","mammal","Chiroptera","Mormoopidae",7,"npp",-0.671436823574431,-0.813354885789812,0.25,"Mormoops_megalophylla","SP258"
"Murexechinus melanurus","mammal","Dasyuromorphia","Dasyuridae",5,"npp",0.150673595078808,0.151829607106591,0.5,"Murexechinus_melanurus","SP259"
"Mus minutoides","mammal","Rodentia","Muridae",8,"npp",-0.11881278658503,-0.119376642850933,0.2,"Mus_minutoides","SP260"
"Mus musculus","mammal","Rodentia","Muridae",291,"npp",-0.266560598144223,-0.273157668059792,0.00347222222222222,"Mus_musculus","SP261"
"Mus triton","mammal","Rodentia","Muridae",7,"npp",0.524621778088194,0.58269545003277,0.25,"Mus_triton","SP262"
"Mustela erminea","mammal","Carnivora","Mustelidae",261,"npp",0.0162261706915286,0.0162275949718711,0.00387596899224806,"Mustela_erminea","SP263"
"Mustela frenata","mammal","Carnivora","Mustelidae",84,"npp",0.0309973665066912,0.0310073000367819,0.0123456790123457,"Mustela_frenata","SP264"
"Mustela nivalis","mammal","Carnivora","Mustelidae",47,"npp",-0.117464718170887,-0.118009493232335,0.0227272727272727,"Mustela_nivalis","SP265"
"Myocastor coypus","mammal","Rodentia","Myocastoridae",7,"npp",0.0349418527367334,0.0349560837177764,0.25,"Myocastor_coypus","SP266"
"Myodes californicus","mammal","Rodentia","Cricetidae",61,"npp",0.553167198018393,0.622933499404341,0.0172413793103448,"Myodes_californicus","SP267"
"Myodes gapperi","mammal","Rodentia","Cricetidae",380,"npp",-0.318133914153965,-0.329569515232241,0.0026525198938992,"Myodes_gapperi","SP268"
"Myodes glareolus","mammal","Rodentia","Cricetidae",27,"npp",-0.11826451238887,-0.118820554818316,0.0416666666666667,"Myodes_glareolus","SP269"
"Myodes rufocanus","mammal","Rodentia","Cricetidae",53,"npp",-0.0282209055808358,-0.0282284010561694,0.02,"Myodes_rufocanus","SP270"
"Myodes rutilus","mammal","Rodentia","Cricetidae",736,"npp",-0.0679996085771382,-0.0681047091760758,0.00136425648021828,"Myodes_rutilus","SP271"
"Myopus schisticolor","mammal","Rodentia","Cricetidae",18,"npp",0.258626831010093,0.264636244298971,0.0666666666666667,"Myopus_schisticolor","SP272"
