"","species","lat.rng"
"648","Dipodomys panamintinus",5.33333312
"649","Dipodomys simulans",8.58333299
"650","Dipodomys spectabilis",13.08333281
"651","Dipodomys stephensi",0.416666649999996
"652","Dipodomys venustus",1.6666666
"653","Dipsosaurus dorsalis",2.74999989
"654","Dipus sagitta",5.33333312
"655","Dixiphia pipra",21.41666581
"656","Dobsonia moluccensis",11.08333289
"657","Dolichonyx oryzivorus",26.33333228
"658","Dolichotis salinicola",3.91666651
"659","Donacobius atricapilla",31.49999874
"660","Doryfera ludovicae",22.16666578
"661","Drymornis bridgesii",12.99999948
"662","Dryocopus lineatus",40.99999836
"663","Dryocopus pileatus",15.58333271
"664","Dryoscopus cubla",33.24999867
"665","Dumetella carolinensis",21.08333249
"666","Dysithamnus leucostictus",9.08333297
"667","Dysithamnus mentalis",35.41666525
"668","Egretta caerulea",28.74999885
"669","Egretta thula",6.99999972
"670","Elaenia albiceps",41.41666501
"671","Elaenia chiriquensis",15.8333327
"672","Elaenia cristata",2.66666656
"673","Elaenia flavogaster",39.33333176
"674","Elaenia obscura",40.49999838
"675","Elaenia pallatangae",18.83333258
"676","Elaenia parvirostris",39.24999843
"677","Elaenia ruficeps",2.24999991
"678","Elanus leucurus",4.9999998
"679","Elaphe taeniura",1.91666659
"680","Elephantulus edwardii",2.33333324
"681","Elephantulus intufi",5.58333311
"682","Elephantulus rozeti",4.49999982
"683","Elephantulus rupestris",8.08333301
"684","Elgaria coerulea",4.66666648
"685","Elgaria multicarinata",5.24999979
"686","Eliomys quercinus",8.74999965
"687","Ellobius tancrei",6.49999974
"688","Emballonura alecto",12.99999948
"689","Emberiza cirlus",7.16666638
"690","Emberiza citrinella",85.33332992
"691","Emberiza elegans",20.49999918
"692","Emberiza schoeniclus",26.91666559
"693","Emberiza spodocephala",25.08333233
"694","Emberiza tahapisi",40.99999836
"695","Emberizoides herbicola",32.91666535
"696","Emberizoides ypiranganus",9.33333296
"697","Empidonax alnorum",91.74999633
"698","Empidonax difficilis",25.66666564
"699","Empidonax flavescens",6.58333307
"700","Empidonax flaviventris",42.58333163
"701","Empidonax hammondii",31.49999874
"702","Empidonax minimus",38.83333178
"703","Empidonax oberholseri",24.83333234
"704","Empidonax occidentalis",12.91666615
